Fecha,Qe,l/m2_arzua,l/m2_olveda,l/m2_serradofaro,l/m2_melide,Qsalida,pred_l/m2_2d,pred_l/m2_3d,pred_l/m2
2009-12-31,133.68,5.8,23.0,5.3,11.4,116.57,14.370668,8.5742857,11.03
2010-01-01,187.69,9.8,23.6,17.9,11.4,116.22,3.231,7.0222856,12711.0
2010-01-02,115.16,3.6,2.8,6.6,2.2,117.35,10.009143,0.024285793,8.6337143
2010-01-03,145.71,15.0,10.0,26.9,10.8,117.18,0.00057144165,0.24014282,13.482714
2010-01-04,101.82,0.2,0.2,0.0,0.2,117.21,0.27914286,2.3432857,0.010714286
2010-01-05,83.56,0.0,0.0,0.0,0.0,117.42,6.4241429,3.4181428,0.24171429
2010-01-06,71.74,1.0,0.0,0.7,0.0,86.93,6.6212858,7.3367143,5.3405714
2010-01-07,65.84,3.8,0.0,0.5,0.4,87.42,2.3651428,0.20699999,5.8801428
2010-01-08,59.2,0.7,0.0,1.4,0.2,88.12,0.662,0.38842855,2.3628571
2010-01-09,53.5,0.6,0.0,0.4,0.2,85.35,4.9328572,0.024428565,0.53499999
2010-01-10,47.87,0.9,0.0,1.1,1.8,85.71,0.078999993,24.225,1.9074286
2010-01-11,46.42,0.0,0.0,0.9,0.0,88.99,31.391571,22.962857,0.22128571
2010-01-12,112.83,39.1,0.0,57.6,18.4,86.94,21.391428,31.355952,22.142857
2010-01-13,151.09,36.4,0.0,42.4,25.8,88.11,11.988572,2.4528571,31.221429
2010-01-14,222.87,20.6,0.0,9.5,19.6,80.14,4.723,15.052143,9.2491428
2010-01-15,109.57,1.5,0.0,7.6,2.0,112.88,11.211714,1.1185714,5.1711429
2010-01-16,123.01,19.9,0.0,20.1,10.8,121.91,1.3442859,8.78,22.851429
2010-01-17,110.97,0.9,0.0,5.7,1.6,121.97,1.2475714,9.8145714,3.2837143
2010-01-18,89.45,2.6,0.0,3.8,0.2,122.27,8.6367143,2.7029999,0.96071429
2010-01-19,85.83,14.8,0.0,16.4,12.8,122.67,4.759,5.6011428,7.7484286
2010-01-20,86.85,0.9,0.0,1.9,1.0,123.31,2.1505714,4.6712857,6281.0
2010-01-21,70.93,0.5,0.0,1.7,0.2,87.95,3.8591428,9.9228571,1918.0
2010-01-22,73.52,24.1,0.0,9.2,13.2,87.29,3.4647143,1.3114286,17.019571
2010-01-23,80.59,0.5,0.0,0.5,0.0,54.06,6.5957143,0.00057144165,6.3077143
2010-01-24,66.29,0.0,0.0,0.8,0.0,55.61,1.7957143,0.93528572,0.27614286
2010-01-25,58.31,0.0,0.0,0.0,0.4,51.89,0.251,0.27642858,1.6297143
2010-01-26,55.47,0.0,0.0,0.0,0.0,59.75,1.0188857,1.2338572,0.067399999
2010-01-27,52.89,0.2,0.0,0.0,0.2,56.09,0.64371429,5.8861429,0.17714286
2010-01-28,47.73,0.3,0.0,0.3,0.2,57.34,6.2775857,8.3877143,1.5621286
2010-01-29,49.98,8.0,0.0,5.3,7.8,57.43,6.7562857,5.8268572,7.0625714
2010-01-30,54.9,3.2,0.0,1.5,2.6,39.99,7.8987143,0.0020000322,8.8591429
2010-01-31,52.78,3.2,0.0,4.8,4.4,46.37,0.010142875,0.0,6.5257143
2010-02-01,50.06,0.2,0.0,0.0,0.2,39.34,0.0,0.0,0.093000001
2010-02-02,42.58,0.0,0.0,0.0,0.0,55.43,0.22083571,13.43,2.142857105
