fold,horizon,test_year,hash,config,model,strategy,NSE,KGE,HitRatio,FARate,FARatio,F1,Precision,Recall,n_extreme,PeakTiming_mean_lag,PeakTiming_mean_absolute_lag,PeakTiming_n_peaks,NSE_CI_lower,NSE_CI_upper,KGE_CI_lower,KGE_CI_upper,F1_CI_lower,F1_CI_upper,HitRatio_CI_lower,HitRatio_CI_upper,n_replicas,frac,mean_abs_deviation_from_baseline,mean_std_across_replicas,max_std_across_replicas,delta_hit_ratio,delta_farate,rf_branch_stability,seed,threshold_percentile
M5_2017,48h,2017,2de09d49df2fedb0,M5,seq2seq_rf,expanding,0.1257936496915275,0.0745269340461766,0.4482758620689655,0.1253731343283582,0.65625,0.4731182795698925,0.34375,0.7586206896551724,29.0,0.0,1.3333333333333333,12.0,-0.2069631306764877,0.3409328093501534,-0.1410692699545861,0.2113864582914661,0.329025610833088,0.5843688037012559,0.2855714285714286,0.6401290322580646,,,,,,,,,92,90
quantile_regression_2017,48h,2017,2de09d49df2fedb0,quantile_regression,baseline,expanding,0.5063862227828815,0.5865436458902307,0.0,0.0328358208955223,0.6111111111111112,0.2978723404255319,0.3888888888888889,0.2413793103448276,29.0,0.5833333333333334,1.5833333333333333,12.0,0.4206175052843193,0.5812120529026502,0.5018098643008363,0.6588742814240511,0.1360795454545454,0.4615384615384615,0.0,0.0,,,,,,,,,92,90
gradient_boosting_quantile_2017,48h,2017,2de09d49df2fedb0,gradient_boosting_quantile,baseline,expanding,0.5654326613817554,0.5425814282361352,0.0,0.0208955223880597,0.5,0.3255813953488372,0.5,0.2413793103448276,29.0,-0.3333333333333333,1.3333333333333333,12.0,0.4942361991506991,0.6347235055674523,0.4617575500908349,0.6495381792285159,0.1459437963944856,0.5006578947368423,0.0,0.0,,,,,,,,,92,90
heuristic_ensemble_2017,48h,2017,2de09d49df2fedb0,heuristic_ensemble,baseline,expanding,0.3509544892519671,0.3162207613612949,0.3448275862068966,0.1014925373134328,0.6181818181818182,0.5000000000000001,0.3818181818181818,0.7241379310344828,29.0,-0.0833333333333333,1.25,12.0,0.0983442714181474,0.5091970344426419,0.1288415336538814,0.4411224534576257,0.3678126768534239,0.6216654966654966,0.1875,0.5185555555555555,,,,,,,,,92,90
M5_2018,48h,2018,d7f9d634d34ce316,M5,seq2seq_rf,expanding,-0.9012644758507302,-0.080929378035206,0.5454545454545454,0.1286549707602339,0.7457627118644068,0.3703703703703703,0.2542372881355932,0.6818181818181818,22.0,0.6666666666666666,1.0666666666666669,15.0,-1.9207277733089951,-0.1963091973692026,-0.3712322259299068,0.1378555566265212,0.2352088661551577,0.5135328185328185,0.3495833333333333,0.7503676470588236,,,,,,,,,92,90
quantile_regression_2018,48h,2018,d7f9d634d34ce316,quantile_regression,baseline,expanding,0.3495026408332515,0.4099619864210335,0.0454545454545454,0.0029239766081871,0.25,0.2307692307692307,0.75,0.1363636363636363,22.0,1.0,1.6666666666666667,15.0,0.2538105774755617,0.4432966661134997,0.3180619653389924,0.5114059590740392,0.0,0.4446969696969697,0.0,0.1538461538461538,,,,,,,,,92,90
gradient_boosting_quantile_2018,48h,2018,d7f9d634d34ce316,gradient_boosting_quantile,baseline,expanding,0.4181528339152758,0.4355044612080371,0.0,0.0,0.0,0.1666666666666666,1.0,0.0909090909090909,22.0,1.2666666666666666,1.4,15.0,0.3319966481888218,0.4987575381347828,0.3375026822805909,0.5349604532170599,0.0,0.3756250000000001,0.0,0.0,,,,,,,,,92,90
heuristic_ensemble_2018,48h,2018,d7f9d634d34ce316,heuristic_ensemble,baseline,expanding,-0.2673963689989633,0.1408876350204192,0.3181818181818182,0.1140350877192982,0.7222222222222222,0.3947368421052631,0.2777777777777778,0.6818181818181818,22.0,0.5333333333333333,0.9333333333333332,15.0,-0.8270480319797804,0.1928058187942747,-0.0778411535778259,0.3227936726889728,0.2622950819672131,0.5333663366336634,0.1426190476190476,0.5005000000000002,,,,,,,,,92,90
M5_2019,48h,2019,bfff9814071f0e3c,M5,seq2seq_rf,expanding,0.4489426858951362,0.5226306850635882,0.3255813953488372,0.0993788819875776,0.4923076923076923,0.611111111111111,0.5076923076923077,0.7674418604651163,43.0,0.625,1.5,16.0,0.3440154272724858,0.5511261779632948,0.4484164227949748,0.5973741543034727,0.4998655913978495,0.7013017648086669,0.1891106222501571,0.468936011904762,,,,,,,,,92,90
quantile_regression_2019,48h,2019,bfff9814071f0e3c,quantile_regression,baseline,expanding,0.4260728053110544,0.4360504495801485,0.0232558139534883,0.0341614906832298,0.4782608695652174,0.3636363636363636,0.5217391304347826,0.2790697674418604,43.0,0.375,1.5,16.0,0.3454596168611101,0.5452191320295476,0.3349089682079008,0.5974850208928493,0.2153846153846154,0.486653091447612,0.0,0.0769230769230769,,,,,,,,,92,90
